United	Unite	575	438	VBN 
Patent	Patent	1201	439	NN 
Patent	Patent	2015	465	NN 
Banks	Bank	573	553	NNS 
et	et	779	557	FW 
Date	Date	2015	553	NN 
ADVERTISING	ADVERTISE	601	747	NN 
SALES	SALE	983	747	NNS 
MANAGEMENT	MANAGEMENT	1162	747	NN 
Del	Del	2462	751	NNP 
SYSTEM	SYSTEM	603	810	NN 
Martin	Martin	847	934	NN 
L	L	1021	934	NN 
G	G	1236	934	NN 
CA	CA	1523	934	MD 
Al	Al	2152	897	IN 
et	et	2577	900	FW 
Martin	Martin	899	946	NN 
L	L	0	0	NN 
Grass	Grass	1273	946	NN 
Michael	Michael	978	997	NN 
Fair	Fair	1418	996	NN 
CA	CA	1650	997	MD 
Al	Al	2152	969	IN 
et	et	2629	972	FW 
DaVid	DaVid	978	1059	NN 
Grass	Grass	1352	1059	NN 
CA	CA	1639	1059	MD 
Al	Al	2152	1041	IN 
et	et	2580	1044	FW 
Visual	Visual	846	1240	JJ 
Advertising	Advertise	997	1240	NN 
Sales	Sale	1276	1240	NNS 
CA	CA	1034	1302	MD 
PUBLICATIONS	PUBLICATION	2368	1287	NNS 
Subject	Subject	848	1419	NN 
term	term	1481	1425	NN 
Optimizing	Optimize	2158	1401	VBG 
downloaded	download	2391	1459	VBN 
Dialog	Dialog	2729	1459	NN 
Web	Web	2863	1459	NN 
patent	patent	846	1488	NN 
extended	extend	1055	1482	VBN 
adjusted	adjust	1334	1482	VBN 
Carl	Carl	1830	1591	NN 
Broadcasting	Broadcast	2573	1591	NN 
Jun	Jun	1957	1651	NN 
downloaded	download	2753	1650	VBN 
Internet	Internet	2261	1711	NN 
Stuart	Stuart	1832	1782	NN 
Ad	Ad	2150	1780	NN 
Cable	Cable	2445	1780	NN 
Satellite	Satellite	2614	1780	NN 
Apr	Apr	1830	1842	NN 
downloaded	download	2328	1840	VBN 
Prior	Prior	907	1900	RB 
Publication	Publication	1041	1900	NN 
Data	Data	1311	1900	NNS 
Internet	Internet	1830	1897	NN 
cited	cite	1870	2002	VBN 
examiner	examiner	2051	2002	NN 
Related	Relate	758	2113	VBN 
Application	Application	1044	2113	NN 
Data	Data	1320	2113	NNS 
Primary	Primary	1827	2104	NN 
y	y	1025	2205	NN 
Provisional	Provisional	602	2205	JJ 
application	application	855	2205	NN 
filed	file	1463	2205	VBN 
ABSTRACT	ABSTRACT	2318	2284	JJ 
system	system	1891	2483	NN 
providing	provide	2138	2476	VBG 
interface	interface	2435	2476	NN 
allows	allow	2740	2476	VBZ 
access	access	2898	2490	NN 
system	system	1832	2546	NN 
sell	sell	2148	2539	NN 
time	time	2228	2539	NN 
slots	slot	2337	2539	NNS 
advertisements	advertisement	2514	2539	NNS 
broadcast	broadcast	2891	2539	NN 
Field	Field	602	2587	NN 
Search	Search	1101	2587	NN 
System	System	2249	2607	NN 
allows	allow	2407	2601	VBZ 
user	user	2590	2614	NN 
access	access	2745	2614	NN 
databases	database	2892	2601	NNS 
access	access	1884	2677	NN 
information	information	2031	2664	NN 
sell	sell	2510	2664	NN 
application	application	691	2710	NN 
file	file	938	2710	NN 
complete	complete	1093	2710	JJ 
search	search	1301	2710	NN 
system	system	1832	2732	NN 
integrates	integrate	1999	2725	NNS 
databases	database	2314	2725	NNS 
allow	allow	2604	2725	VB 
easy	easy	2743	2739	JJ 
access	access	2860	2739	NN 
References	Reference	903	2811	NNS 
Cited	Cite	1161	2811	VBN 
centralized	centralize	1830	2788	VBN 
storage	storage	2074	2794	NN 
information	information	2515	2788	NN 
selling	sell	2850	2788	NN 
time	time	2999	2788	NN 
PATENT	PATENT	881	2911	NN 
DOCUMENTS	DOCUMENT	1085	2911	NNS 
et	et	1220	3011	FW 
Retrieve	Retrieve	1642	3742	VB 
Access	Access	1646	3951	NN 
Client	Client	1595	3984	NN 
Access	Access	1643	4165	NN 
Programming	Program	1608	4198	NN 
Access	Access	1643	4375	NN 
m	m	1653	4413	NN 
Generate	Generate	1588	3319	VB 
Display	Display	1705	3321	NN 
Transmit	Transmit	1592	3421	VB 
Display	Display	1699	3421	NN 
User	User	1628	3454	NN 
System	System	1691	3454	NN 
Receive	Receive	1594	3577	VB 
Options	Option	1694	3578	NNS 
slots	slot	1832	2850	NNS 
